,Query,Intent
0,can you walk me through setting up direct deposits to my swear of internet pull through account,direct_deposit
1,can you walk me through setting up set direct deposits to saving my bank of internet deposit savings situate account,direct_deposit
2,of bank savings setting account me my internet to deposits up you can direct walk through,direct_deposit
3,you me setting up deposits my bank internet savings,direct_deposit
4,up my savings through me bank can account internet of you setting to deposits walk direct,direct_deposit
5,want switch direct,direct_deposit
6,i want switch to direct deposit,direct_deposit
7,i want to switch to direct deposit,direct_deposit
8,i want to switch to direct posit,direct_deposit
9,i to deposit direct want switch to,direct_deposit
10,solidifying up direct deposit for me,direct_deposit
11,set direct deposit for me,direct_deposit
12,set up direct deposit for me,direct_deposit
13,set up direct deposit for me,direct_deposit
14,set up deposit for me,direct_deposit
15,up about i deposit do direct how setting go,direct_deposit
16,how do i go about setting up direct deposit,direct_deposit
17,how do i go about set up direct sediment,direct_deposit
18,setting up deposit about go how do direct i,direct_deposit
19,how do i go about setting up direct deposit,direct_deposit
20,i need to get my paycheck direct deposited to my chase account,direct_deposit
21,i need to engender my paycheck direct deposited to my chase account,direct_deposit
22,i need get down to get my paycheck direct deposited to postulate my begin chase account,direct_deposit
23,paycheck my get to need i to my direct deposited account chase,direct_deposit
24,i involve to flummox my paycheck direct situate to my chase account,direct_deposit
25,what are the steps to set up direct deposit to my chase account,direct_deposit
26,what are the step to curing up direct alluviation to my chase account,direct_deposit
27,what are the steps to set up dictated order direct give chase stone's throw deposit to my pursual chase account,direct_deposit
28,what the steps set up direct deposit to my chase account,direct_deposit
29,to set the up deposit are steps account to what chase my direct,direct_deposit
30,"how deposit, direct it i do do would i if up to set like",direct_deposit
31,"if i readiness would like to set up direct deposit, how do i do it",direct_deposit
32,"if i would wish to hardening up direct deposit, how do i do it",direct_deposit
33,"like set up deposit, do i do",direct_deposit
34,"like set direct deposit, do i do",direct_deposit
35,my check i deposit direct how do,direct_deposit
36,do i direct deposit my check,direct_deposit
37,how do i direct deposit my check,direct_deposit
38,how conduct do i direct deposit my check,direct_deposit
39,how do i direct deposit my check,direct_deposit
40,do what set direct to i deposit need up,direct_deposit
41,what depository do i need to set up direct deposit,direct_deposit
42,set direct i to need what deposit do up,direct_deposit
43,set direct i need to what up do deposit,direct_deposit
44,what do i need to set up direct deposit,direct_deposit
45,i'd the like to have my paycheck send deposited to my chase answer for,direct_deposit
46,i'd the likes of to have my paycheck direct deposited to my chase bill,direct_deposit
47,paycheck chase account deposited my i'd to have direct my like to,direct_deposit
48,deposited paycheck chase my direct like my i'd account have to to,direct_deposit
49,paycheck account chase to my i'd deposited direct have my to like,direct_deposit
50,how is a direct deposit set up,direct_deposit
51,how a deposit set up,direct_deposit
52,how is a direct alluviation set up,direct_deposit
53,is direct deposit up,direct_deposit
54,how is a guide deposit set up,direct_deposit
55,"can how show who you up set to me or deposit, teach direct me can",direct_deposit
56,"can you teach me how to set up direct deposit, or show me who can",direct_deposit
57,"you teach how set direct deposit, show who",direct_deposit
58,"can you teach display me how to set up direct deposit, or show me who can",direct_deposit
59,"can you teach how to set direct deposit, or show me who can",direct_deposit
60,how can i organise turn on direct deposit,direct_deposit
61,how can i turn on take direct deposit,direct_deposit
62,lead how can i turn on direct deposit,direct_deposit
63,how can i turn on direct deposit,direct_deposit
64,how can i guide turn on direct deposit,direct_deposit
65,direct depositary information,direct_deposit
66,direct information,direct_deposit
67,direct deposit information,direct_deposit
68,orchestrate deposit information,direct_deposit
69,direct deposit information,direct_deposit
70,hawaiian bank deposit first direct up to to account set i want my,direct_deposit
71,i want to set up direct deposit to my first hawaiian trust account,direct_deposit
72,i want to set up direct deposit to privation address my first set up hawaiian bank account,direct_deposit
73,i want to set up direct deposit to my first hawaiian bank account,direct_deposit
74,i want to set place up direct require deposit to my first hawaiian bank account,direct_deposit
75,can you tell me how to set up a direct deposit,direct_deposit
76,direct set to deposit up tell you how a can me,direct_deposit
77,can you recount channelise tell me how to set up a direct deposit,direct_deposit
78,can you say me how to set up a direct bank deposit,direct_deposit
