,Query,Intent
0,can you walk me through setting up direct deposits to my bank of internet savings account,direct_deposit
1,save can you walk economy me through setting up direct deposits to my bank of internet savings upwardly account,direct_deposit
2,can you walk me through setting direct deposits my bank of savings account,direct_deposit
3,can you walk me through setting up direct deposits to my bank of savings account,direct_deposit
4,can net you walk me through setting up determine direct deposits to my bank of cyberspace internet savings account,direct_deposit
5,i to to direct,direct_deposit
6,i want switch direct,direct_deposit
7,to direct deposit i want switch to,direct_deposit
8,want switch direct deposit,direct_deposit
9,i deficiency to switch to channelize deposit,direct_deposit
10,set up lineal direct deposit for me,direct_deposit
11,set up direct deposit for me,direct_deposit
12,set up direct deposit aim for me,direct_deposit
13,limit up direct deposit for me,direct_deposit
14,set up direct deposit for me,direct_deposit
15,how do i go about setting up direct deposit,direct_deposit
16,how do i go about setting up direct deposit,direct_deposit
17,how do i go about determine up steer deposit,direct_deposit
18,do i about up deposit,direct_deposit
19,how do i go about setting up direct sediment deposit,direct_deposit
20,i need to fix my paycheck conduct deposited to my trail account,direct_deposit
21,i get direct to to my need my chase deposited paycheck account,direct_deposit
22,i need to get my paycheck direct deposited to my chase account,direct_deposit
23,chase to direct need paycheck i deposited my to account get my,direct_deposit
24,i need to get my paycheck direct deposited to my chase account,direct_deposit
25,what are the steps to set up direct deposit to my chase account,direct_deposit
26,set chase the up to to account direct deposit steps my are what,direct_deposit
27,what are the steps to set up direct deposit to my chase account,direct_deposit
28,what are the steps to set up direct deposit to my chase account,direct_deposit
29,what are the step steps track to set up trail direct deposit to my chase account,direct_deposit
30,"up do to like direct do how would deposit, i it set i if",direct_deposit
31,"if i would like to set up direct deposit, plant how ilk do i do it",direct_deposit
32,"if i would like to set up direct deposit, how do i do it",direct_deposit
33,"do if i would do to how direct it i like set up deposit,",direct_deposit
34,"if i would like to set up direct deposit, how organize do i do it",direct_deposit
35,how do i direct deposit my point check,direct_deposit
36,how do i direct deposit my check,direct_deposit
37,how check i deposit do direct my,direct_deposit
38,check deposit i do my how direct,direct_deposit
39,how do i direct deposit my halt,direct_deposit
40,what do i need to set direct deposit,direct_deposit
41,do i to set direct,direct_deposit
42,what do i need to band up direct deposit,direct_deposit
43,what do i need to set up direct deposit,direct_deposit
