,Original Query,Intermediate Query hi,Back Translated Query,Intent
0,can you walk me through setting up direct deposits to my bank of internet savings account,क्या आप मुझे मेरे बैंक या इंटरनेट बचत खाते में सीधे जमा की व्यवस्था करने में मदद कर सकते हैं?,Can you help me set up direct deposit into my bank or internet savings account?,direct_deposit
1,i want to switch to direct deposit,मैं प्रत्यक्ष जमा पर स्विच करना चाहता हूं,I want to switch to direct deposit,direct_deposit
2,set up direct deposit for me,मेरे लिए प्रत्यक्ष जमा की व्यवस्था करें,Arrange direct deposit for me,direct_deposit
3,how do i go about setting up direct deposit,मैं प्रत्यक्ष जमा की व्यवस्था कैसे करूँ?,How do I arrange for direct deposit?,direct_deposit
4,i need to get my paycheck direct deposited to my chase account,मुझे अपना वेतन सीधे अपने चेस खाते में जमा करवाना है,I want my paycheck deposited directly into my Chase account,direct_deposit
5,what are the steps to set up direct deposit to my chase account,मेरे चेस खाते में सीधे जमा स्थापित करने के लिए क्या कदम हैं?,What are the steps to set up direct deposit into my Chase account?,direct_deposit
6,"if i would like to set up direct deposit, how do i do it","यदि मैं प्रत्यक्ष जमा स्थापित करना चाहता हूं, तो मैं यह कैसे कर सकता हूं?","If I want to set up direct deposit, how do I do that?",direct_deposit
7,how do i direct deposit my check,मैं अपना चेक सीधे कैसे जमा करूँ?,How do I direct deposit my check?,direct_deposit
8,what do i need to set up direct deposit,मुझे प्रत्यक्ष जमा स्थापित करने के लिए क्या चाहिए,What do I need to set up direct deposit,direct_deposit
9,i'd like to have my paycheck direct deposited to my chase account,मैं चाहता हूँ कि मेरा वेतन सीधे मेरे चेस खाते में जमा हो जाए,I want my paycheck deposited directly into my Chase account,direct_deposit
10,how is a direct deposit set up,प्रत्यक्ष जमा कैसे स्थापित किया जाता है,How Direct Deposit Is Set Up,direct_deposit
11,"can you teach me how to set up direct deposit, or show me who can","क्या आप मुझे प्रत्यक्ष जमा की व्यवस्था करना सिखा सकते हैं, या मुझे दिखा सकते हैं कि कौन ऐसा कर सकता है?","Can you teach me how to set up direct deposit, or show me who can do it?",direct_deposit
12,how can i turn on direct deposit,मैं प्रत्यक्ष जमा कैसे चालू कर सकता हूँ?,How do I turn on direct deposit?,direct_deposit
13,direct deposit information,प्रत्यक्ष जमा जानकारी,Direct Deposit Information,direct_deposit
