,Query,Intent
0,Can you help me set up direct deposit into my bank or internet savings account?,direct_deposit
1,I want to switch to direct deposit,direct_deposit
2,Arrange direct deposit for me,direct_deposit
3,How do I arrange for direct deposit?,direct_deposit
4,I want my paycheck deposited directly into my Chase account,direct_deposit
5,What are the steps to set up direct deposit into my Chase account?,direct_deposit
6,"If I want to set up direct deposit, how do I do that?",direct_deposit
7,How do I direct deposit my check?,direct_deposit
8,What do I need to set up direct deposit,direct_deposit
9,I want my paycheck deposited directly into my Chase account,direct_deposit
10,How Direct Deposit Is Set Up,direct_deposit
11,"Can you teach me how to set up direct deposit, or show me who can do it?",direct_deposit
12,How do I turn on direct deposit?,direct_deposit
13,Direct Deposit Information,direct_deposit
14,I want to set up direct deposit into my First Hawaiian Bank account,direct_deposit
15,Can you tell me how to set up direct deposit,direct_deposit
16,I'd like to know how to set up direct deposit,direct_deposit
17,Tell me how to set up direct deposit,direct_deposit
18,Tell me how do I arrange for direct deposit for my salary?,direct_deposit
19,Help setting up direct deposit,direct_deposit
20,Please help me set up direct deposit,direct_deposit
21,How do I get my paycheck deposited directly?,direct_deposit
22,What do I do to get my salary directly deposited into my account?,direct_deposit
23,How do I get a direct deposit system?,direct_deposit
24,Make sure my salary goes directly to my savings account,direct_deposit
25,"I want to set up direct deposit for my paycheck, what do I need to do?",direct_deposit
26,What is needed to set up direct deposit,direct_deposit
27,Arrange for Direct Deposit,direct_deposit
28,Tell me how to set up direct deposit,direct_deposit
29,How do I set up direct deposit for my pay?,direct_deposit
30,I need some guidance regarding direct deposit,direct_deposit
31,How do I set up instant paychecks?,direct_deposit
32,I really want to set up direct deposit for my salary,direct_deposit
33,How do I set up direct deposit into my Chase account?,direct_deposit
34,Can you help me set up direct deposit?,direct_deposit
35,How do I set up direct deposit into my savings account?,direct_deposit
36,I'd like to set up direct deposit for my paycheck,direct_deposit
37,I'd like to set up direct deposit,direct_deposit
38,How do I get my check direct deposited?,direct_deposit
39,How can I get my salary directly deposited into my account?,direct_deposit
40,How do I get my pay direct deposited?,direct_deposit
41,Is there a specific way to set up direct deposit,direct_deposit
42,Arrange for my pay check to be directly deposited into my money market account,direct_deposit
43,can you please tell me how to setup direct depot,direct_deposit
44,Can you tell me how I can arrange to have my pay deposited directly into my First Hawaiian bank account?,direct_deposit
45,How do I do direct deposit to bank from my job?,direct_deposit
46,"I have an account with Great Western Bank, I want direct deposit",direct_deposit
47,Can you tell me how to set up direct deposit,direct_deposit
48,Websearch for direct deposit setup,direct_deposit
49,What are the steps to set up direct deposit,direct_deposit
