,Query,Intent
0,Can you explain to me how to set up direct deposits into my bank or internet savings account?,direct_deposit
1,I want to switch to direct deposit,direct_deposit
2,Set up a direct deposit for me,direct_deposit
3,How do I set up direct deposit?,direct_deposit
4,I need to have my paycheck deposited directly into my Chase account,direct_deposit
5,What steps are required to set up direct deposit into my Chase account?,direct_deposit
6,"If I want to set up direct deposit, how do I do that?",direct_deposit
7,How do I deposit my check directly?,direct_deposit
8,what do I need to set up a direct deposit,direct_deposit
9,I want my paycheck deposited directly into my Chase account,direct_deposit
10,how to set up a direct deposit,direct_deposit
11,can you teach me how to set up a direct deposit or show me who can,direct_deposit
12,How can I activate direct deposit?,direct_deposit
13,Information about direct deposit,direct_deposit
14,I want to set up a direct deposit to my first Hawaiian bank account,direct_deposit
15,Can you tell me how to set up direct deposit?,direct_deposit
16,I want to know how to set up a direct deposit,direct_deposit
17,Tell me how to set up direct deposit,direct_deposit
18,tell me how to set up direct deposit of my paycheck,direct_deposit
19,Help setting up direct deposit,direct_deposit
20,Please help me set up direct deposit,direct_deposit
21,How can I have my paycheck directly deposited?,direct_deposit
22,What do I have to do to have my salary transferred directly to my account?,direct_deposit
23,How do I set up direct deposit?,direct_deposit
24,ensure that my salary is transferred directly to my savings account,direct_deposit
25,"I want to set up a direct deposit for my paycheck, what do I need to do",direct_deposit
26,What is needed to set up direct deposit?,direct_deposit
27,Set up a direct deposit,direct_deposit
28,Tell me how to set up a direct deposit,direct_deposit
29,How do I set up direct deposit of my paycheck?,direct_deposit
30,I need some tips on direct deposit,direct_deposit
31,How do I set up an instant paycheck?,direct_deposit
32,I really want to set up a direct deposit for my paycheck,direct_deposit
33,How do I set up direct deposit into my Chase account?,direct_deposit
34,Would you help me set up direct deposit?,direct_deposit
35,How do I make a direct deposit into my savings account?,direct_deposit
36,I need to set up direct deposit for my paycheck,direct_deposit
37,I need to set up a direct deposit,direct_deposit
38,How can I have my check directly deposited?,direct_deposit
39,How can I have my paycheck deposited directly into my account?,direct_deposit
40,How do I direct deposit my paycheck?,direct_deposit
41,Is there a specific way to set up direct deposit?,direct_deposit
42,Set up a direct deposit into my money market account for my paycheck,direct_deposit
43,Can you tell me how to set up direct deposit?,direct_deposit
44,can you show me how to set up direct deposit of my paycheck into my first Hawaiian bank account,direct_deposit
45,How do I set up direct deposits from my workplace to my bank?,direct_deposit
46,I have a Great Western bank account and would like to make direct deposits to,direct_deposit
47,Can you show me how to set up direct deposit?,direct_deposit
48,Perform a web search for direct deposit setup,direct_deposit
49,What are the steps to set up direct deposit?,direct_deposit
50,what can I take with me on American Airlines,carry_on
51,which hand luggage regulations apply to United,carry_on
